recv_ts,t_ms,avg_bpm,last_bpm,beats,ir,finger
2026-07-23T21:09:44,144490,0,0.0,0,494,0
2026-07-23T21:09:45,147500,0,0.0,0,500,0
2026-07-23T21:09:45,150512,0,0.0,0,480,0
2026-07-23T21:09:45,153522,0,0.0,0,456,0
2026-07-23T21:09:45,156531,0,0.0,1,461,0
2026-07-23T21:09:45,159543,0,0.0,0,646,0
2026-07-23T21:09:45,3001,0,0.0,0,486,0
2026-07-23T21:09:45,6012,0,0.0,0,479,0
2026-07-23T21:09:45,9022,0,0.0,0,472,0
2026-07-23T21:09:45,12032,0,0.0,0,479,0
2026-07-23T21:09:45,15042,0,0.0,0,472,0
2026-07-23T21:09:45,3001,0,0.0,0,45206,0
2026-07-23T21:09:45,6012,0,0.0,0,657,0
2026-07-23T21:09:45,9022,0,0.0,0,738,0
2026-07-23T21:09:45,12032,0,0.0,0,745,0
2026-07-23T21:09:45,15042,0,0.0,0,739,0
2026-07-23T21:09:45,18054,0,0.0,0,734,0
2026-07-23T21:09:45,21065,0,0.0,1,727,0
2026-07-23T21:09:45,24074,0,0.0,1,822,0
2026-07-23T21:09:45,27085,0,0.0,1,666,0
2026-07-23T21:09:45,30116,0,0.0,1,99524,1
2026-07-23T21:09:45,33186,0,0.0,0,1978,0
2026-07-23T21:09:47,36198,0,0.0,0,5624,0
2026-07-23T21:09:50,39248,0,0.0,0,999,0
2026-07-23T21:09:53,42278,0,0.0,0,107814,1
2026-07-23T21:09:56,45290,0,0.0,0,647,0
2026-07-23T21:09:59,48321,0,0.0,0,740,0
2026-07-23T21:10:02,51331,0,0.0,0,761,0
2026-07-23T21:10:05,54342,0,0.0,0,632,0
2026-07-23T21:10:08,57372,0,0.0,0,856,0
2026-07-23T21:10:11,60404,0,0.0,1,27730,0
2026-07-23T21:10:14,63413,0,0.0,0,36151,0
2026-07-23T21:10:17,66429,0,0.0,0,1227,0
2026-07-23T21:10:20,69475,0,0.0,0,1748,0
2026-07-23T21:10:23,72506,0,0.0,0,3346,0
2026-07-23T21:10:26,75515,0,0.0,0,5664,0
2026-07-23T21:10:29,78527,0,0.0,0,18561,0
2026-07-23T21:10:32,81537,0,0.0,0,11658,0
2026-07-23T21:10:35,84548,0,0.0,0,17524,0
2026-07-23T21:10:38,87579,0,0.0,0,8085,0
2026-07-23T21:10:42,90630,0,0.0,0,7809,0
2026-07-23T21:10:44,93631,0,0.0,0,5262,0
2026-07-23T21:10:47,96631,0,0.0,0,5992,0
2026-07-23T21:10:51,99643,0,0.0,0,6189,0
2026-07-23T21:10:54,102655,0,0.0,0,6329,0
2026-07-23T21:10:57,105706,0,0.0,0,6429,0
2026-07-23T21:11:00,108714,0,0.0,0,7350,0
2026-07-23T21:11:03,111725,0,0.0,0,7413,0
2026-07-23T21:11:06,114737,0,0.0,2,7658,0
2026-07-23T21:11:09,117759,0,0.0,0,45535,0
2026-07-23T21:11:12,120792,0,0.0,0,74776,1
2026-07-23T21:11:15,123828,0,0.0,0,72898,1
2026-07-23T21:11:18,126839,0,0.0,0,72165,1
2026-07-23T21:11:21,129871,0,0.0,0,70761,1
2026-07-23T21:11:24,132920,0,0.0,0,69699,1
